Part;WaterCategory;QuestionNo;QuestionNo_a;QuestionNo_b;Question;ResponseType;ResponseOptionRef;ResponseOptionText;ResponsesPerOption;BE;BE-Br;BE-Fl;BE-Wa;BG;CZ;DK;DE;EE;IE;EL;ES;FR;IT;CY;LV;LT;HU;NL;AT;PL;PT;RO;SK;FI;SE;IS;NO;TR
C;Transitional;1,3;1;1;When is nutrient reduction decided to be necessary for transitional waters? ;Categorical;1.3.5;When downstream water bodies fail to reach good status due to nutrient pollution;5;;;;;;;;1;;1;;;1;;;;1;;;;1;;;;;;;;
C;Transitional;1,3;1;1;When is nutrient reduction decided to be necessary for transitional waters? ;Categorical;1.3.6;Other;4;;;;;;;;;;;;;;1;;;;;1;;1;;;;;;1;;
C;Coastal;1,4;1;1;When is nutrient reduction decided to be necessary for coastal waters? ;Categorical;1.4.1;When a water body is classified as failing good status according to nutrient-sensitive-biological quality elements (BQEs);10;;;;;;;1;;1;1;;1;1;1;;;;;1;;1;1;1;;;;;;
C;Coastal;1,4;1;1;When is nutrient reduction decided to be necessary for coastal waters? ;Categorical;1.4.2;When a water body is classified failing good status according to nutrient good/moderate boundaries (if yes, please specify if this applies to both P and N, or only to the limiting nutrient)  ;10;;;;;;;;;1;1;1;1;1;;;1;;;1;;1;1;1;;;;;;
C;Coastal;1,4;1;1;When is nutrient reduction decided to be necessary for coastal waters? ;Categorical;1.4.3;When a water body is classified as failing good status according to both nutrient-sensitive-BQEs and nutrients   ;8;;;;;;;;1;1;1;;;;;;;1;;;;;;1;;1;1;;1;
C;Coastal;1,4;1;1;When is nutrient reduction decided to be necessary for coastal waters? ;Categorical;1.4.4;When a water body is classified as good status for nutrient-sensitive BQEs, but deteriorating towards moderate due to increasing pressures or impacts (precautionary principle);3;;;;;;;;;;1;;;1;;1;;;;;;;;;;;;;;
C;Coastal;1,4;1;1;When is nutrient reduction decided to be necessary for coastal waters? ;Categorical;1.4.5;When downstream water bodies fail to reach good status due to nutrient pollution;6;;;;;;;1;;;;;;;;1;;1;;;;1;;;;1;1;;;
C;Coastal;1,4;1;1;When is nutrient reduction decided to be necessary for coastal waters? ;Categorical;1.4.6;Other;5;;;;;;;;;;;;;;1;;;;;;;1;;;;;1;1;;1
C;Marine;2;2;1;When is nutrient reduction decided to be necessary for marine waters?;Categorical;2.1;When the integrated assessment for MSFD descriptor 5 fails to achieve good status   ;8;;;;;;;;;1;1;;1;1;;;;1;;1;;;;1;;;1;;;
C;Marine;2;2;1;When is nutrient reduction decided to be necessary for marine waters?;Categorical;2.2;When criterion D5C1 “nutrient concentrations” fails to achieve good status (if yes, please specify if this applies to both P and N, or only to the limiting nutrient)  ;8;;;;;;;;;1;1;;1;;;;1;1;;1;;;;1;;;1;;;
C;Marine;2;2;1;When is nutrient reduction decided to be necessary for marine waters?;Categorical;2.3;When nutrient inputs are increasing   ;6;;;;;;;;;1;;;1;;;1;;1;;;;;;;;1;1;;;
C;Marine;2;2;1;When is nutrient reduction decided to be necessary for marine waters?;Categorical;2.4;Other;5;;;;;;;1;1;;;;;;1;;;;;1;;;;;;1;;;;
C;Point sources;3;3;2;Are you undertaking pollution accounting to identify the sources of nutrient pollution? ;Categorical;3.1;Yes ;23;;;;1;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;;1;1
C;Point sources;3;3;2;Are you undertaking pollution accounting to identify the sources of nutrient pollution? ;Categorical;3.2;No;2;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;
C;Point sources;3;3;3;If yes, which point sources are included?;Categorical;3.3;Urban waste water;23;;;;1;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;;1;1
C;Point sources;3;3;3;If yes, which point sources are included?;Categorical;3.4;Wastewater from scattered dwellings    ;20;;;;1;;1;1;1;1;1;1;1;1;1;;;1;1;1;1;1;;1;1;1;;;1;1
C;Point sources;3;3;3;If yes, which point sources are included?;Categorical;3.5;Industrial discharges   ;23;;;;1;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;;1;1
C;Point sources;3;3;3;If yes, which point sources are included?;Categorical;3.6;Manure dumps   ;6;;;;1;;;;;;;;1;1;;;;;1;;;;;1;;;;;;1
C;Point sources;3;3;3;If yes, which point sources are included?;Categorical;3.7;Other;9;;;;;;;1;1;;;1;;1;;;;;;1;;1;;;;1;1;;1;
C;Diffuse sources;3;3;3;If yes, which diffuse sources are included?;Categorical;3.8;Agriculture ;22;;;;1;;;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;;1;1
C;Diffuse sources;3;3;3;If yes, which diffuse sources are included?;Categorical;3.9;Forestry;10;;;;1;;;;;1;1;1;;1;;;;;;;1;;;;;1;1;;1;1
C;Diffuse sources;3;3;3;If yes, which diffuse sources are included?;Categorical;3.10;Atmospheric Deposition;14;;;;1;;;1;1;;1;;;;1;;;;1;1;1;1;;1;;1;1;;1;1
C;Diffuse sources;3;3;3;If yes, which diffuse sources are included?;Categorical;3.11;Other;11;;;;;;1;1;;;1;;;1;;;;;;1;;1;1;1;;1;1;;;1
C;All;3;3;4;If yes, please describe the methodology that is used for the pollution accounting?;Open;;See Word Doc;22;;;;1;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;;;1
C;All;4;4;5;What criteria and considerations do you use to select which measures to implement in order to reduce nutrient inputs? ;Categorical;4.1;Cost-efficiency of measures   ;21;;;;1;;1;1;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;;1;
C;All;4;4;5;What criteria and considerations do you use to select which measures to implement in order to reduce nutrient inputs? ;Categorical;4.2;Effectiveness of measures (e.g. % of total load reduction needed)  ;17;;;;1;1;1;1;1;1;;;;1;;1;;1;1;1;1;1;1;1;;1;;;;1
C;All;4;4;5;What criteria and considerations do you use to select which measures to implement in order to reduce nutrient inputs? ;Categorical;4.3;Feasibility of implementation of measures in the different sectors   ;18;;;;1;;;1;1;1;1;;1;1;;1;;1;1;1;;1;1;1;1;1;1;;1;
C;All;4;4;5;What criteria and considerations do you use to select which measures to implement in order to reduce nutrient inputs? ;Categorical;4.4;Costs alone   ;3;;;;;;;;;;;;1;1;;;;;;;;1;;;;;;;;
C;All;4;4;5;What criteria and considerations do you use to select which measures to implement in order to reduce nutrient inputs? ;Categorical;4.5;Political priorities   ;11;;;;1;;;1;;;;;1;1;;;;1;;1;;1;;1;1;;1;;;1
C;All;4;4;5;What criteria and considerations do you use to select which measures to implement in order to reduce nutrient inputs? ;Categorical;4.6;Other;6;;;;;;1;;;;;;;1;1;;;;;;;1;;1;;1;;;;
C;All;5;5;6;Are past policy measures such as a focus on urban waste water treatment plants as opposed to diffuse pollution from agriculture taken into account when planning new measures, e.g. trying to achieve a fair sharing of the nutrient reductions between different sectors according to a pollution account? ;Categorical;5.1;Yes;18;;;;1;1;1;1;1;;;1;1;1;;;;1;;1;1;1;1;;1;1;1;;1;1
C;All;5;5;6;Are past policy measures such as a focus on urban waste water treatment plants as opposed to diffuse pollution from agriculture taken into account when planning new measures, e.g. trying to achieve a fair sharing of the nutrient reductions between different sectors according to a pollution account? ;Categorical;5.2;No;8;;;;;;;;;1;1;;;1;1;1;1;;1;;;;;1;;;;;;
C;All;6;6;7;Is the delay in the response of the ecosystem to reduced nutrient inputs taken into account when planning new measures?;Categorical;6.1;Yes;15;;;;1;;1;1;1;;1;1;1;1;;;1;;;;1;;1;1;;1;1;;1;
C;All;6;6;7;Is the delay in the response of the ecosystem to reduced nutrient inputs taken into account when planning new measures?;Categorical;6.2;No;11;;;;;1;;;;1;;;;1;1;1;;1;1;1;;1;;;1;;;;;1
C;All;7;7;8;Do you estimate the effect of measures on the reduction of the nutrient load or concentration in water? ;Categorical;7.1;Yes;19;;;;1;;1;1;1;;1;;1;1;1;;1;1;;1;1;1;1;1;;1;1;;1;1
C;All;7;7;8;Do you estimate the effect of measures on the reduction of the nutrient load or concentration in water? ;Categorical;7.2;No;8;;;;;1;;1;;1;;1;;1;;1;;;1;;;;;;1;;;;;
C;All;8;8;9;Do you have mechanisms for managing management objectives for nutrients across political boundaries (either within or between Member States)? ;Categorical;8.1;Yes;17;;;;;;1;;1;;1;1;1;1;;;;1;1;1;1;1;1;1;1;1;1;;1;
C;All;8;8;9;Do you have mechanisms for managing management objectives for nutrients across political boundaries (either within or between Member States)? ;Categorical;8.2;No;9;;;;1;1;;1;;1;;;;1;1;1;1;;;;;;;;;;;;;1
C;All;9;9;10;Do you consider climate change impacts on nutrient emissions and/or on biological quality elements/MSFD criterion responses to nutrients when planning the nutrient reduction measures;Categorical;9.1;Yes;15;;;;1;;1;1;1;;;1;1;1;;;;1;;;1;1;1;1;;1;1;;;1
C;All;9;9;10;Do you consider climate change impacts on nutrient emissions and/or on biological quality elements/MSFD criterion responses to nutrients when planning the nutrient reduction measures;Categorical;9.2;No;12;;;;;1;;;1;1;1;;;1;1;1;1;;1;1;;;;;1;;;;1;
C;All;10;10;11;Do you consider nature-based solutions (restoring riparian zones, wetlands, flood plains etc.) when planning the nutrient reduction measures? ;Categorical;10.1;Yes;22;;;;1;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;;1;1
C;All;10;10;11;Do you consider nature-based solutions (restoring riparian zones, wetlands, flood plains etc.) when planning the nutrient reduction measures? ;Categorical;10.2;No;5;;;;;;;;;;1;1;;1;;;;;1;;;;;;1;;;;;
C;All;11;11;12;Do you consider technical/biological manipulative solutions (removal of nutrient-rich sediment, oxygenation of bottom water, adding chemicals to the sediment to bind phosphorus, extractive aquaculture using mussels or seaweeds, management fisheries) when planning the nutrient reduction measures? ;Categorical;11.1;Yes;16;;;;;;1;1;1;1;;;1;1;;;1;1;1;1;1;1;1;;;1;1;;;1
C;All;11;11;12;Do you consider technical/biological manipulative solutions (removal of nutrient-rich sediment, oxygenation of bottom water, adding chemicals to the sediment to bind phosphorus, extractive aquaculture using mussels or seaweeds, management fisheries) when planning the nutrient reduction measures? ;Categorical;11.2;No;11;;;;1;1;;;1;;1;1;;1;1;1;;;;;;;;1;1;;;;1;
