Part;WaterCategory;QuestionNo;QuestionNo_a;QuestionNo_b;Question;ResponseType;ResponseOptionRef;ResponseOptionText;ResponsesPerOption;BE;BE-Br;BE-Fl;BE-Wa;BG;CZ;DK;DE;EE;IE;EL;ES;FR;IT;CY;LV;LT;HU;NL;AT;PL;PT;RO;SK;FI;SE;IS;NO;TR
A;Lakes;1,4;1;4;Do you determine the maximum critical load or a load reduction target that is compatible with good status for nutrient sensitive BQEs? What methodology do you use?;Categorical and Open;1.4.2;No;16;;;;;1;1;;;1;1;;1;1;1;1;;1;1;;1;;1;1;;;;1;1;1
A;Lakes;1,5;1;5;Is there a relationship between the management objectives set for nutrients and the nutrient boundaries set for ecological status?;Categorical/Categorical and Open;1.5.1;Yes, the management objective is to reach the nutrient concentration at good/moderate boundary;18;;;;;1;1;1;;1;1;;1;1;1;1;1;1;1;1;1;1;;;;1;1;;1;
A;Lakes;1,5;1;5;Is there a relationship between the management objectives set for nutrients and the nutrient boundaries set for ecological status?;Categorical/Categorical and Open;1.5.2;Yes, the management objective is to reach the mid-point of good status (between the high/good and the good/moderate boundary) as defined by the biological quality elements;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;
A;Lakes;1,5;1;5;Is there a relationship between the management objectives set for nutrients and the nutrient boundaries set for ecological status?;Categorical/Categorical and Open;1.5.3;No, another approach is used to set the management objective  ;6;;;;;;;;1;;;1;;1;1;;;;;;;;;1;;;;;;1
A;Lakes;1,6;1;6;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;1.6.1;WFD;24;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1
A;Lakes;1,6;1;6;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;1.6.2;NiD;15;;;;;;1;;1;;1;1;1;1;1;;;;;;1;1;1;1;;1;;1;1;1
A;Lakes;1,6;1;6;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;1.6.3;UWWTD;13;;;;;;1;;1;;1;1;1;;1;;;;;;1;1;1;1;;;;1;1;1
A;Lakes;1,6;1;6;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;1.6.4;Other;3;;;;;;;;;;;;;1;;;;;;;;;;1;;;1;;;
A;Lakes;1,7;1;7;If you have not set management objectives for nutrients, please explain the reasons. In addition, please provide information on how you achieve the WFD objectives instead (for water bodies exposed to nutrient pollution).;Open;;See Word Doc;5;;;;;;;;;;;;;1;;1;;;;;1;;;1;;;;1;;
A;Rivers;2,1;2;1;Have you set management objectives for nutrients for rivers that are exposed to nutrient pollution?;Categorical;2.1.1;Yes, for all nutrient polluted water bodies ;25;;;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
A;Rivers;2,1;2;1;Have you set management objectives for nutrients for rivers that are exposed to nutrient pollution?;Categorical;2.1.2;Yes, for some nutrient polluted water bodies;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
A;Rivers;2,1;2;1;Have you set management objectives for nutrients for rivers that are exposed to nutrient pollution?;Categorical;2.1.3;No;2;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;
A;Rivers;2,2;2;2;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;2.2.1;Phosphorus ;4;;;;;;;;;;1;;;1;;;;;;;;;;;;1;1;;;
A;Rivers;2,2;2;2;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;2.2.2;Nitrogen;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
A;Rivers;2,2;2;2;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;2.2.3;Phosphorus & Nitrogen;21;;;;;1;1;;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;1;1;1
A;Rivers;2,2;2;2;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;2.2.4;Limiting Nutrient ;4;;;;1;;;;;;;;;1;1;;;;;;;;;;;1;;;;
A;Rivers;2,3;2;3;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;2.3.1;Modelling based on nutrients vs BQE-response relationships;16;;;;1;;;;1;1;1;;1;1;1;1;;;1;1;1;1;1;;;1;;;1;1
A;Rivers;2,3;2;3;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;2.3.2;Historical information ;9;;;;;;;;1;1;;;1;1;;;1;;1;;1;;1;;1;;;;;
A;Rivers;2,3;2;3;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;2.3.3;Expert Judgement;10;;;;;1;;;1;1;;;1;1;;;1;;1;;1;;1;;;;;1;;
A;Rivers;2,3;2;3;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;2.3.4;Other;12;;;;1;;1;;;;;1;;1;1;1;;1;;;;;;1;1;1;1;1;;
A;Rivers;2,4;2;4;Do you determine the maximum critical load or a load reduction target that is compatible with good status for nutrient sensitive BQEs? What methodology do you use?;Categorical and Open;2.4.1;Yes;9;;;;1;;;;1;;;1;;1;;;1;1;;;;1;;;;1;1;;;
A;Rivers;2,4;2;4;Do you determine the maximum critical load or a load reduction target that is compatible with good status for nutrient sensitive BQEs? What methodology do you use?;Categorical and Open;2.4.2;No;18;;;;;1;1;1;;1;1;;1;1;1;1;;;1;1;1;;1;1;1;;;1;1;1
A;Rivers;2,5;2;5;Is there a relationship between the management objectives set for nutrients and the nutrient boundaries set for ecological status?;Categorical/Categorical and Open;2.5.1;Yes, the management objective is to reach the nutrient concentration at good/moderate boundary;20;;;;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;;1;1;1;;1;
A;Rivers;2,5;2;5;Is there a relationship between the management objectives set for nutrients and the nutrient boundaries set for ecological status?;Categorical/Categorical and Open;2.5.2;Yes, the management objective is to reach the mid-point of good status (between the high/good and the good/moderate boundary) as defined by the biological quality elements;4;;;;;;;;;;;;;1;;;;;;1;;;1;;;;;1;;
A;Rivers;2,5;2;5;Is there a relationship between the management objectives set for nutrients and the nutrient boundaries set for ecological status?;Categorical/Categorical and Open;2.5.3;No, another approach is used to set the management objective  ;5;;;;;;;;1;;;;;1;1;;;;;;;;;1;;;;;;1
A;Rivers;2,6;2;6;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;2.6.1;WFD;25;;;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
A;Rivers;2,6;2;6;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;2.6.2;NiD;17;;;;1;;1;;1;;1;1;1;1;1;;;;;;1;1;1;1;1;1;;1;1;1
A;Rivers;2,6;2;6;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;2.6.3;UWWTD;16;;;;1;;1;;1;;1;1;1;1;1;;;;;;1;1;1;1;1;;;1;1;1
A;Rivers;2,6;2;6;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;2.6.4;Other;4;;;;;;;;;;;;;1;;;;;;;;1;;1;;;1;;;
A;Rivers;2,7;2;7;If you have not set management objectives for nutrients, please explain the reasons. In addition, please provide information on how you achieve the WFD objectives instead (for water bodies exposed to nutrient pollution).;Open;;See Word Doc;4;;;;;;;1;;;;;;1;;;;;;;;;;1;;;;1;;
A;Transitional;3,1;3;1;Have you set management objectives for nutrients for transitional waters that are exposed to nutrient pollution?;Categorical;3.1.1;Yes, for all nutrient polluted water bodies ;11;;;;;;;;1;;1;1;;;1;;1;1;;1;;1;1;1;;;;1;;
A;Transitional;3,1;3;1;Have you set management objectives for nutrients for transitional waters that are exposed to nutrient pollution?;Categorical;3.1.2;Yes, for some nutrient polluted water bodies;2;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;
A;Transitional;3,1;3;1;Have you set management objectives for nutrients for transitional waters that are exposed to nutrient pollution?;Categorical;3.1.3;No;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;Transitional;3,2;3;2;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;3.2.1;Phosphorus ;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
A;Transitional;3,2;3;2;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;3.2.2;Nitrogen;2;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;
A;Transitional;3,2;3;2;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;3.2.3;Phosphorus & Nitrogen;11;;;;;;;;1;;;1;1;1;1;;1;1;;;;1;1;1;;;;1;;
A;Transitional;3,2;3;2;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;3.2.4;Limiting Nutrient ;2;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
A;Transitional;3,3;3;3;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;3.3.1;Modelling based on nutrients vs BQE-response relationships;7;;;;;;;;1;;;;;1;1;;1;1;;1;;1;;;;;;;;
A;Transitional;3,3;3;3;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;3.3.2;Historical information ;5;;;;;;;;1;;1;;1;;;;;1;;;;;1;;;;;;;
A;Transitional;3,3;3;3;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;3.3.3;Expert Judgement;6;;;;;;;;1;;;;1;1;;;;1;;;;;1;;;;;1;;
A;Transitional;3,3;3;3;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;3.3.4;Other;5;;;;;;;;;;1;1;;;1;;;;;;;;;1;;;;1;;
A;Transitional;3,4;3;4;Do you determine the maximum critical load or a load reduction target that is compatible with good status for nutrient sensitive BQEs? What methodology do you use?;Categorical and Open;3.4.1;Yes;6;;;;;;;;1;;1;1;;;;;1;;;1;;1;;;;;;;;
A;Transitional;3,4;3;4;Do you determine the maximum critical load or a load reduction target that is compatible with good status for nutrient sensitive BQEs? What methodology do you use?;Categorical and Open;3.4.2;No;7;;;;;;;;;;;;1;1;1;;;1;;;;;1;1;;;;1;;
A;Transitional;3,5;3;5;Is there a relationship between the management objectives set for nutrients and the nutrient boundaries set for ecological status?;Categorical/Categorical and Open;3.5.1;Yes, the management objective is to reach the nutrient concentration at good/moderate boundary;7;;;;;;;;;;1;;1;;1;;1;1;;1;;1;;;;;;;;
A;Transitional;3,5;3;5;Is there a relationship between the management objectives set for nutrients and the nutrient boundaries set for ecological status?;Categorical/Categorical and Open;3.5.2;Yes, the management objective is to reach the mid-point of good status (between the high/good and the good/moderate boundary) as defined by the biological quality elements;4;;;;;;;;;;;1;;;;;;;;1;;;1;;;;;1;;
A;Transitional;3,5;3;5;Is there a relationship between the management objectives set for nutrients and the nutrient boundaries set for ecological status?;Categorical/Categorical and Open;3.5.3;No, another approach is used to set the management objective  ;4;;;;;;;;1;;;;;1;1;;;;;;;;;1;;;;;;
A;Transitional;3,6;3;6;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;3.6.1;WFD;13;;;;;;;;1;;1;1;1;1;1;;1;1;;1;;1;1;1;;;;1;;
A;Transitional;3,6;3;6;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;3.6.2;NiD;11;;;;;;;;1;;1;1;1;1;1;;;1;;;;1;1;1;;;;1;;
A;Transitional;3,6;3;6;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;3.6.3;UWWTD;10;;;;;;;;1;;1;1;;1;1;;;1;;;;1;1;1;;;;1;;
A;Transitional;3,6;3;6;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;3.6.4;Other;3;;;;;;;;;;;;;;;;1;;;;;1;;1;;;;;;
A;Transitional;3,7;3;7;If you have not set management objectives for nutrients, please explain the reasons. In addition, please provide information on how you achieve the WFD objectives instead (for water bodies exposed to nutrient pollution).;Open;;See Word Doc;4;;;;;;;;;;;;;1;;;;;;;;;1;1;;;;1;;
A;Coastal;4,1;4;1;Have you set management objectives for nutrients for coastal waters that are exposed to nutrient pollution?;Categorical;4.1.1;Yes, for all nutrient polluted water bodies ;20;;;;;;;1;1;1;1;1;1;1;1;1;1;1;;1;;1;1;1;;1;1;1;1;1
A;Coastal;4,1;4;1;Have you set management objectives for nutrients for coastal waters that are exposed to nutrient pollution?;Categorical;4.1.2;Yes, for some nutrient polluted water bodies;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;Coastal;4,1;4;1;Have you set management objectives for nutrients for coastal waters that are exposed to nutrient pollution?;Categorical;4.1.3;No;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;Coastal;4,2;4;2;Please provide the management objectives for nutrients set for coastal waters.;Open;;See Word Doc;18;;;;;;;1;1;1;1;1;1;1;1;1;1;1;;;;;1;1;;1;1;1;1;1
A;Coastal;4,3;4;3;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;4.3.1;Phosphorus ;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;Coastal;4,3;4;3;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;4.3.2;Nitrogen;3;;;;;;;;1;;1;;;;;;;;;1;;;;;;;;;;
A;Coastal;4,3;4;3;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;4.3.3;Phosphorus & Nitrogen;16;;;;;;;1;;1;;1;1;1;1;1;1;1;;;;1;1;1;;1;1;1;1;
A;Coastal;4,3;4;3;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;4.3.4;Limiting Nutrient ;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
A;Coastal;4,4;4;4;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;4.4.1;Modelling based on nutrients vs BQE-response relationships;11;;;;;;;1;1;1;1;1;;1;;;1;1;;1;;1;;;;;1;;;
A;Coastal;4,4;4;4;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;4.4.2;Historical information ;10;;;;;;;;1;1;1;;1;1;;1;;1;;;;;1;;;;1;;1;
A;Coastal;4,4;4;4;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;4.4.3;Expert Judgement;7;;;;;;;;;1;;;1;1;;;;1;;;;;1;;;;;1;1;
A;Coastal;4,4;4;4;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;4.4.4;Other;5;;;;;;;;;;;1;;;1;;;;;;;;;1;;1;;1;;
A;Coastal;4,5;4;5;Do you determine the maximum critical load or a load reduction target that is compatible with good status for nutrient sensitive BQEs? What methodology do you use?;Categorical and Open;4.5.1;Yes;8;;;;;;;1;1;;1;;;;;;1;;;1;;1;;;;1;1;;;
A;Coastal;4,5;4;5;Do you determine the maximum critical load or a load reduction target that is compatible with good status for nutrient sensitive BQEs? What methodology do you use?;Categorical and Open;4.5.2;No;11;;;;;;;;;1;;1;1;1;1;1;;1;;;;;1;1;;;;1;1;
A;Coastal;4,6;4;6;Is there a relationship between the management objectives set for nutrients and the nutrient boundaries set for ecological status?;Categorical/Categorical and Open;4.6.1;Yes, the management target is to reach the nutrient concentration at good/moderate boundary;12;;;;;;;;1;1;1;1;1;;;;1;1;;1;;1;;;;1;1;;1;
A;Coastal;4,6;4;6;Is there a relationship between the management objectives set for nutrients and the nutrient boundaries set for ecological status?;Categorical/Categorical and Open;4.6.2;Yes, the management target is to reach the mid-point of good status (between the high/good and the good/moderate boundary) as defined by the biological quality elements;3;;;;;;;;;;;;;;;;;;;1;;;1;;;;;1;;
A;Coastal;4,6;4;6;Is there a relationship between the management objectives set for nutrients and the nutrient boundaries set for ecological status?;Categorical/Categorical and Open;4.6.3;No, another approach is used to set the management objective  ;6;;;;;;;1;1;;;;;1;1;1;;;;;;;;1;;;;;;
A;Coastal;4,7;4;7;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;4.7.1;WFD;18;;;;;;;1;1;1;1;1;1;1;1;;1;1;;1;;1;1;1;;1;1;1;1;
A;Coastal;4,7;4;7;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;4.7.2;MSFD;13;;;;;;;1;1;1;1;1;1;1;1;;1;1;;;;;1;1;;;1;;;
A;Coastal;4,7;4;7;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;4.7.3;NiD;12;;;;;;;;1;;1;;1;1;1;1;;1;;;;1;1;1;;1;;1;;
A;Coastal;4,7;4;7;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;4.7.4;UWWTD;10;;;;;;;;;;1;1;;1;1;1;;1;;;;1;1;1;;;;1;;
A;Coastal;4,7;4;7;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;4.7.5;Other;5;;;;;;;;;1;;;;;;;1;;;;;1;;1;;;1;;;
A;Coastal;4,8;4;8;If you have not set management objectives for nutrients, please explain the reasons. In addition, please provide information on how you achieve the WFD/MSFD objectives instead for water bodies exposed to nutrient pollution.;Open;;See Word Doc;2;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;
A;Marine;5,1;5;1;Have you set management objectives for nutrients for marine waters that are exposed to nutrient pollution?;Categorical;5.1.1;Yes, for all nutrient polluted assessment units   ;9;;;;;;;1;;1;1;;1;;;;1;1;;;;;;1;;1;1;;;
A;Marine;5,1;5;1;Have you set management objectives for nutrients for marine waters that are exposed to nutrient pollution?;Categorical;5.1.2;Yes, for some nutrient polluted assessment units   ;2;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;
A;Marine;5,1;5;1;Have you set management objectives for nutrients for marine waters that are exposed to nutrient pollution?;Categorical;5.1.3;No;3;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;
A;Marine;5,2;5;2;Please provide the management objectives for nutrients set for marine waters.;Open;;See Word Doc;12;;;;;;;1;1;1;1;;1;1;;;1;1;;1;;;;1;;1;1;;;
A;Marine;5,3;5;3;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;5.3.1;Phosphorus ;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;Marine;5,3;5;3;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;5.3.2;Nitrogen;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
A;Marine;5,3;5;3;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;5.3.3;Phosphorus & Nitrogen;10;;;;;;;1;1;1;1;;1;1;;;1;1;;;;;;1;;1;;;;
A;Marine;5,3;5;3;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;5.3.4;Limiting Nutrient ;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;Marine;5,4;5;4;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;5.4.1;Modelling based on nutrients vs BQE-response relationships;7;;;;;;;1;1;1;;;;;;;1;;;1;;;;;;1;1;;;
A;Marine;5,4;5;4;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;5.4.2;Historical information ;6;;;;;;;1;1;1;1;;1;;;;;;;;;;;1;;;;;;
A;Marine;5,4;5;4;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;5.4.3;Expert Judgement;3;;;;;;;;;1;;;1;;;;;;;;;;;1;;;;;;
A;Marine;5,4;5;4;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;5.4.4;Other;2;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;
A;Marine;5,5;5;5;Do you determine the maximum critical load or a load reduction target that is compatible with good status for nutrient sensitive BQEs? What methodology do you use?;Categorical and Open;5.5.1;Yes;6;;;;;;;1;1;1;;;;;;;1;;;;;;;;;1;1;;;
A;Marine;5,5;5;5;Do you determine the maximum critical load or a load reduction target that is compatible with good status for nutrient sensitive BQEs? What methodology do you use?;Categorical and Open;5.5.2;No;7;;;;;;;;;;1;;1;1;1;;;1;;1;;;;1;;;;;;
A;Marine;5,6;5;6;Is there a relationship between the management objectives set for nutrients and the criteria for descriptor 5 of the MSFD?;Categorical/Categorical and Open;5.6.1;Yes;12;;;;;;;1;1;1;1;;1;1;;;1;1;;1;;;;1;;1;1;;;
A;Marine;5,6;5;6;Is there a relationship between the management objectives set for nutrients and the criteria for descriptor 5 of the MSFD?;Categorical/Categorical and Open;5.6.2;No;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
A;Marine;5,7;5;7;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;5.7.1;MSFD;13;;;;;;;1;1;1;1;;1;1;;;1;1;;1;;1;;1;;1;1;;;
A;Marine;5,7;5;7;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;5.7.2;Regional Seas Conventions;10;;;;;;;1;1;1;1;;1;;;;;1;;1;;1;;;;1;1;;;
A;Marine;5,7;5;7;If you have set management objectives for nutrients, please specify which policy the management objectives are meant to address;Categorical/Open;5.7.3;Other;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
A;Marine;5,8;5;8;If you have not set management objectives for nutrients, please explain the reasons. In addition, please provide information on how you achieve the MSFD objectives for descriptor 5 “eutrophication” instead (for water bodies exposed to nutrient pollution).;Open;;See Word Doc;6;;;;;;;;1;;1;;;1;1;1;;;;1;;;;;;;;;;
